User Type, Warehouse, Date, Time	
Employee,Delhi,30-06-2020,02:25
Admin,Delhi,30-06-2020,02:25
Employee,Delhi,30-06-2020,02:30
Employee,Delhi,30-06-2020,02:33
login.employee,Delhi,30-06-2020,02:36
login.employee,Delhi,30-06-2020,02:39
login.employee,Delhi,30-06-2020,02:41
login.employee,Delhi,30-06-2020,02:44
login.employee,Delhi,30-06-2020,10:24
EMPLOYEE,Delhi,13-08-2020,13:51
EMPLOYEE,Delhi,15-08-2020,11:39
Employee,Delhi,15-08-2020,11:41
Employee,Delhi,15-08-2020,11:43
Employee,Delhi,15-08-2020,11:44
Employee,Delhi,15-08-2020,11:45
Employee,Delhi,15-08-2020,11:48
Employee,Delhi,15-08-2020,11:49
Employee,Delhi,15-08-2020,11:50
EMployee,Delhi,15-08-2020,11:50
EMployee,Delhi,15-08-2020,11:52
Employee,Delhi,15-08-2020,11:52
Employee,Delhi,15-08-2020,11:54
Employee,Delhi,15-08-2020,11:55
Employee,Delhi,15-08-2020,11:56
Employee,Delhi,15-08-2020,11:57
Employee,Delhi,15-08-2020,11:57
Employee,Delhi,15-08-2020,11:58
Employee,Delhi,15-08-2020,11:59
Employee,Delhi,15-08-2020,12:00
Employee,Delhi,15-08-2020,12:00
Employee,Delhi,15-08-2020,12:02
EMployee,Delhi,15-08-2020,12:02
Employee,Delhi,15-08-2020,12:03
Employee,Delhi,15-08-2020,12:49
Employee,Delhi,15-08-2020,12:54
Employee,Delhi,15-08-2020,12:56
Employee,Delhi,15-08-2020,12:58
Employee,Delhi,15-08-2020,12:58
Employee,Delhi,15-08-2020,12:59
Employee,Delhi,15-08-2020,13:00
Employee,Delhi,15-08-2020,13:02
Employee,Delhi,15-08-2020,13:03
Employee,Delhi,15-08-2020,13:11
Employee,Delhi,15-08-2020,13:14
Employee,Delhi,15-08-2020,13:18
Employee,Delhi,15-08-2020,13:20
Employee,Delhi,15-08-2020,13:24
Employee,Delhi,15-08-2020,13:44
Employee,Delhi,15-08-2020,13:47
Employee,Delhi,15-08-2020,13:48
Employee,Delhi,15-08-2020,13:50
Employee,Delhi,15-08-2020,13:53
Employee,Delhi,15-08-2020,13:56
Employee,Delhi,15-08-2020,13:58
EMployee,Delhi,15-08-2020,13:58
Employee,Delhi,15-08-2020,13:59
Employee,Delhi,15-08-2020,15:01
Employee,Delhi,15-08-2020,15:04
Employee,Delhi,15-08-2020,15:08
Employee,Delhi,15-08-2020,15:27
Employee,Delhi,15-08-2020,15:28
Employee,Delhi,15-08-2020,15:29
Employee,Delhi,15-08-2020,15:29
Employee,Delhi,15-08-2020,15:35
Employee,Delhi,15-08-2020,15:39
